goodsid,name,title,cutprice,oldprice,imgurl1,imgurl2,imgurl3,sellqty,comment
1,泰国椰青整箱装 9个,椰汁清甜沁心 椰肉香软滑嫩,188,320,../images/1b1.jpg,../images/1b2.jpg,../images/1b3.jpg,2820,8460
2,蒙自石榴雀斑甜果礼盒装12粒装（2.4kg以上）,来自北回归线上的精品甜石榴,49,98,../images/2b1.jpg,../images/2b2.jpg,../images/2b3.jpg,1225,3430
3,金百瑞红莓（覆盆子）速冻果200g,原香 原味 冻浆果更营养。,18.8,26.8,../images/3b1.jpg,../images/3b2.jpg,../images/3b3.jpg,658,2632
4,易拉罐椰皇 1粒（单果360g以上）,轻轻一拉即可随时享受美味,23,38,../images/4b1.jpg,../images/4b2.jpg,../images/4b3.jpg,1035,4968
5,越南红心火龙果大果 2个共800g以上,红色诱惑 皮薄味甜,35.8,79,../images/5b1.jpg,../images/5b2.jpg,../images/5b3.jpg,1969,9845
6,泰国进口龙眼 2.5kg,晶莹而甜爽多汁,59,99,../images/6b1.jpg,../images/6b2.jpg,../images/6b3.jpg,3835,243
7,云南蒙自石榴8粒（单果200g以上）,皮薄透亮，籽实晶莹,39,69,../images/7b1.jpg,../images/7b2.jpg,../images/7b3.jpg,2925,2925
8,百香果 12粒装（600g以上）,风味浓郁，芳香怡人,19.8,39.8,../images/8b1.jpg,../images/8b2.jpg,../images/8b3.jpg,396,594
9,澳洲进口橙4个装（800g以上）,阳光外衣，甜蜜内心，鲜甜共享,22.8,58,../images/9b1.jpg,../images/9b2.jpg,../images/9b3.jpg,684,2052
10,南丰蜜桔 （约1kg）,皮薄核少、食不存渣、酸甜适中,15.8,29.8,../images/10b1.jpg,../images/10b2.jpg,../images/10b3.jpg,632,1580
11,广西金桔500g,甜脆爽口，营养满满,26.9,48,../images/11b1.jpg,../images/11b2.jpg,../images/11b3.jpg,807,3228
12,金百瑞黑莓速冻果200g,富含维生素 酸甜可口 香味浓郁,18.8,35,../images/12b1.jpg,../images/12b2.jpg,../images/12b3.jpg,1692,7614
13,越南白肉火龙果 2个装（大果·0.8-1kg）,热情火龙果 甜蜜好口味,18.9,39,../images/13b1.jpg,../images/13b2.jpg,../images/13b3.jpg,1890,2835
14,实建冰糖橙5kg（特级）,系出褚老的小清新，皮薄多汁,98,139,../images/14b1.jpg,../images/14b2.jpg,../images/14b3.jpg,10780,26950
15,台湾金钻凤梨 1粒（单果0.9kg以上）,香甜细腻,35.8,59,../images/15b1.jpg,../images/15b2.jpg,../images/15b3.jpg,4296,15036
16,象山红美人柑12个装（3kg以上）,海上仙子国，“美人”香袭远,198,239,../images/16b1.jpg,../images/16b2.jpg,../images/16b3.jpg,25740,1158
17,金百瑞蓝莓速冻果200g,原香 原味 冻浆果更营养。,19.9,59,../images/17b1.jpg,../images/17b2.jpg,../images/17b3.jpg,2786,15323
18,进口柠檬 6粒装（700g以上）,肉质细嫩，水分丰富,32.8,38,../images/18b1.jpg,../images/18b2.jpg,../images/18b3.jpg,4920,31980
19,福建琯溪三红蜜柚2粒（单果1kg以上）,三红柚，吃起来很享受,28.8,49,../images/19b1.jpg,../images/19b2.jpg,../images/19b3.jpg,4608,34560
20,旺顿牌热带冷冻椰子（含椰子果肉）1个,细腻多汁，清香怡人,32,38,../images/20b1.jpg,../images/20b2.jpg,../images/20b3.jpg,5440,10880
21,进口加力果6个（900g以上）,肉质紧密 清脆甜蜜,36.8,59,../images/21b1.jpg,../images/21b2.jpg,../images/21b3.jpg,736,2208
22,网纹瓜1个装（1-1.5kg）,赏心悦目的高颜值蜜瓜,39.8,68,../images/22b1.jpg,../images/22b2.jpg,../images/22b3.jpg,1194,4776
23,西州蜜瓜2粒装（约2kg）,阳光的馈赠，甜到心尖的美味,79.9,89.9,../images/23b1.jpg,../images/23b2.jpg,../images/23b3.jpg,3196,9588
24,山东精品烟台富士15个礼盒装/ 3.2kg以上,鲜脆多汁，酸酸甜甜,108,138,../images/24b1.jpg,../images/24b2.jpg,../images/24b3.jpg,5400,486
25,精选麒麟瓜 1个装 2-3kg,果皮薄，肉色鲜红绵密，甘甜爽口水分足，入口后的丝丝清甜。,29,69,../images/25b1.jpg,../images/25b2.jpg,../images/25b3.jpg,1740,5220
26,海南金煌芒1粒(500g以上),芒果中的大个子 纤维细 大口吃果肉 超爽,26.8,55,../images/26b1.jpg,../images/26b2.jpg,../images/26b3.jpg,1876,5252
